agents,utilities
"('MCTS-ProgressiveHistory-0.6-Random200' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;-1.0;1.0;0.33333333333333337"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'Random' / 'Random' / 'Random')","-1.0;-0.33333333333333326;1.0;0.33333333333333337"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'Random' / 'Random' / 'Random')","-1.0;0.33333333333333337;1.0;-0.33333333333333326"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'Random' / 'Random' / 'Random')","1.0;-0.33333333333333326;0.33333333333333337;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'Random' / 'Random' / 'Random')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'Random' / 'Random' / 'Random')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('Random' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'Random' / 'Random')","-0.33333333333333326;1.0;-1.0;0.33333333333333337"
"('Random' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'Random' / 'Random')","1.0;-0.33333333333333326;0.33333333333333337;-1.0"
"('Random' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'Random' / 'Random')","-0.33333333333333326;1.0;-1.0;0.33333333333333337"
"('Random' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'Random' / 'Random')","-1.0;0.33333333333333337;1.0;-0.33333333333333326"
"('Random' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'Random' / 'Random')","1.0;0.33333333333333337;-0.33333333333333326;-1.0"
"('Random' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'Random' / 'Random')","-1.0;-0.33333333333333326;0.33333333333333337;1.0"
"('Random' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'Random' / 'Random')","-0.33333333333333326;1.0;0.33333333333333337;-1.0"
"('Random' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'Random' / 'Random')","-0.33333333333333326;1.0;0.33333333333333337;-1.0"
"('Random' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'Random' / 'Random')","-1.0;1.0;-0.33333333333333326;0.33333333333333337"
"('Random' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'Random' / 'Random')","-1.0;-0.33333333333333326;0.33333333333333337;1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-0.6-Random200')","-1.0;-0.33333333333333326;1.0;0.33333333333333337"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-0.6-Random200')","1.0;0.33333333333333337;-1.0;-0.33333333333333326"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-0.6-Random200')","0.33333333333333337;1.0;-1.0;-0.33333333333333326"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-0.6-Random200')","-0.33333333333333326;1.0;0.33333333333333337;-1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-0.6-Random200')","-1.0;-0.33333333333333326;0.33333333333333337;1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-0.6-Random200')","0.33333333333333337;1.0;-0.33333333333333326;-1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-0.6-Random200')","-1.0;-0.33333333333333326;1.0;0.33333333333333337"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-0.6-Random200')","-1.0;0.33333333333333337;-0.33333333333333326;1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-0.6-Random200')","-0.33333333333333326;1.0;0.33333333333333337;-1.0"
