agents,utilities
"('MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-UCB1GRAVE-0.1-Random4')","-1.0;0.0;0.0;0.6666666666666667;0.0;1.0;-0.6666666666666665"
"('MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","-0.5;0.6666666666666667;0.33333333333333337;-0.5;1.0;-0.5;-0.5"
"('MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","-0.6666666666666665;-0.6666666666666665;1.0;0.0;-0.6666666666666665;0.5;0.5"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-0.1-Random4')","1.0;-0.16666666666666652;-0.16666666666666652;-1.0;-0.16666666666666652;-0.16666666666666652;0.6666666666666667"
"('MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.6-Random0')","-0.5;1.0;0.33333333333333337;0.6666666666666667;-0.5;-0.5;-0.5"
"('MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.6-Random0')","-0.8333333333333333;0.5;-0.16666666666666652;-0.16666666666666652;-0.8333333333333333;0.5;1.0"
"('MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random0')","-0.8333333333333333;0.6666666666666667;-0.16666666666666652;0.33333333333333337;-0.16666666666666652;-0.8333333333333333;1.0"
"('MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.6-Random0')","0.16666666666666674;-0.8333333333333333;-0.33333333333333326;-0.8333333333333333;1.0;0.16666666666666674;0.6666666666666667"
"('MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.6-Random0')","-0.16666666666666652;-0.8333333333333333;-0.8333333333333333;0.5;0.5;-0.16666666666666652;1.0"
"('MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-UCB1GRAVE-0.1-Random4')","-0.8333333333333333;0.16666666666666674;0.6666666666666667;-0.8333333333333333;1.0;-0.33333333333333326;0.16666666666666674"
"('MCTS-UCB1GRAVE-0.1-Random4' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.1-NST')","1.0;-0.5;0.5;-0.5;-0.5;-0.5;0.5"
